NAME                     IMAGE                     COMMAND                   SERVICE       CREATED         STATUS                   PORTS
vpm-mini-archivist-1     vpm-mini/app:dev          "bash -c 'python pla…"   archivist     5 minutes ago   Up 5 minutes (healthy)   0.0.0.0:9005->9005/tcp, [::]:9005->9005/tcp
vpm-mini-curator-1       vpm-mini/app:dev          "bash -c 'python pla…"   curator       5 minutes ago   Up 5 minutes (healthy)   0.0.0.0:9002->9002/tcp, [::]:9002->9002/tcp
vpm-mini-grafana-1       grafana/grafana:11.1.0    "/run.sh"                 grafana       5 minutes ago   Up 5 minutes             0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
vpm-mini-planner-1       vpm-mini/app:dev          "bash -c 'python pla…"   planner       5 minutes ago   Up 5 minutes (healthy)   0.0.0.0:9003->9003/tcp, [::]:9003->9003/tcp
vpm-mini-prometheus-1    prom/prometheus:v2.52.0   "/bin/prometheus --c…"   prometheus    5 minutes ago   Up 5 minutes (healthy)   0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
vpm-mini-redis-1         redis:7                   "docker-entrypoint.s…"   redis         5 minutes ago   Up 5 minutes (healthy)   6379/tcp
vpm-mini-synthesizer-1   vpm-mini/app:dev          "bash -c 'python pla…"   synthesizer   5 minutes ago   Up 5 minutes (healthy)   0.0.0.0:9004->9004/tcp, [::]:9004->9004/tcp
vpm-mini-watcher-1       vpm-mini/app:dev          "bash -c 'python pla…"   watcher       5 minutes ago   Up 5 minutes (healthy)   0.0.0.0:9001->9001/tcp, [::]:9001->9001/tcp
